game,seed,odin_is_black,winner_color,outcome,num_moves,elapsed_sec,cpp_winner_matches
0,12648430,1,2,cpp,84,1.222,1
1,12648431,0,1,cpp,56,0.776,1
2,12648432,1,1,odin,111,1.606,1
3,12648433,0,2,odin,82,1.079,1
4,12648434,1,2,cpp,92,1.255,1
5,12648435,0,2,odin,99,1.297,1
6,12648436,1,2,cpp,89,1.175,1
7,12648437,0,1,cpp,97,1.059,1
8,12648438,1,2,cpp,68,0.899,1
9,12648439,0,1,cpp,85,1.21,1
10,12648440,1,2,cpp,66,0.861,1
11,12648441,0,1,cpp,93,1.261,1
12,12648442,1,2,cpp,82,1.168,1
13,12648443,0,2,odin,93,1.359,1
14,12648444,1,1,odin,103,1.341,1
15,12648445,0,2,odin,69,0.87,1
16,12648446,1,1,odin,55,0.624,1
17,12648447,0,1,cpp,106,1.349,1
18,12648448,1,2,cpp,54,0.66,1
19,12648449,0,2,odin,76,1.123,1
20,12648450,1,1,odin,111,1.519,1
21,12648451,0,1,cpp,79,1.156,1
22,12648452,1,2,cpp,81,1.11,1
23,12648453,0,2,odin,102,1.347,1
24,12648454,1,1,odin,77,1.243,1
25,12648455,0,2,odin,72,1.108,1
26,12648456,1,2,cpp,68,0.962,1
27,12648457,0,1,cpp,77,0.948,1
28,12648458,1,2,cpp,68,0.831,1
29,12648459,0,2,odin,82,1.059,1
30,12648460,1,2,cpp,86,1.13,1
31,12648461,0,2,odin,68,1.076,1
32,12648462,1,2,cpp,56,0.753,1
33,12648463,0,2,odin,68,0.961,1
34,12648464,1,2,cpp,68,0.976,1
35,12648465,0,1,cpp,119,1.553,1
36,12648466,1,1,odin,129,1.631,1
37,12648467,0,2,odin,80,1.149,1
38,12648468,1,2,cpp,86,0.949,1
39,12648469,0,2,odin,102,1.151,1
40,12648470,1,2,cpp,92,1.086,1
41,12648471,0,2,odin,96,1.377,1
42,12648472,1,2,cpp,80,1.005,1
43,12648473,0,1,cpp,73,0.991,1
44,12648474,1,2,cpp,114,1.505,1
45,12648475,0,2,odin,117,1.827,1
46,12648476,1,2,cpp,57,0.824,1
47,12648477,0,2,odin,68,1.035,1
48,12648478,1,2,cpp,45,0.697,1
49,12648479,0,1,cpp,67,1.068,1
50,12648480,1,1,odin,69,0.973,1
51,12648481,0,1,cpp,89,1.226,1
52,12648482,1,2,cpp,87,1.115,1
53,12648483,0,2,odin,80,1.266,1
54,12648484,1,2,cpp,99,1.377,1
55,12648485,0,2,odin,44,0.561,1
56,12648486,1,1,odin,83,1.278,1
57,12648487,0,2,odin,97,1.362,1
58,12648488,1,2,cpp,72,1.046,1
59,12648489,0,2,odin,84,1.17,1
60,12648490,1,2,cpp,54,0.667,1
61,12648491,0,1,cpp,77,1.208,1
62,12648492,1,1,odin,87,1.243,1
63,12648493,0,1,cpp,67,0.904,1
64,12648494,1,2,cpp,111,1.354,1
65,12648495,0,1,cpp,57,0.83,1
66,12648496,1,1,odin,89,1.23,1
67,12648497,0,1,cpp,93,1.333,1
68,12648498,1,2,cpp,81,1.289,1
69,12648499,0,1,cpp,111,1.472,1
70,12648500,1,1,odin,81,1.322,1
71,12648501,0,2,odin,30,0.393,1
72,12648502,1,2,cpp,68,0.958,1
73,12648503,0,1,cpp,77,1.096,1
74,12648504,1,1,odin,53,0.795,1
75,12648505,0,2,odin,60,1.015,1
76,12648506,1,1,odin,47,0.549,1
77,12648507,0,2,odin,48,0.78,1
78,12648508,1,1,odin,77,1.139,1
79,12648509,0,1,cpp,87,1.217,1
80,12648510,1,1,odin,73,1.042,1
81,12648511,0,2,odin,72,1.109,1
82,12648512,1,2,cpp,93,1.217,1
83,12648513,0,1,cpp,73,0.867,1
84,12648514,1,2,cpp,97,1.288,1
85,12648515,0,2,odin,80,1.147,1
86,12648516,1,1,odin,102,1.299,1
87,12648517,0,2,odin,136,1.702,1
88,12648518,1,1,odin,104,1.348,1
89,12648519,0,1,cpp,91,1.218,1
90,12648520,1,2,cpp,72,1.023,1
91,12648521,0,2,odin,152,2.373,1
92,12648522,1,2,cpp,82,1.179,1
93,12648523,0,1,cpp,100,1.416,1
94,12648524,1,2,cpp,101,1.429,1
95,12648525,0,1,cpp,89,1.442,1
96,12648526,1,1,odin,87,1.227,1
97,12648527,0,2,odin,104,1.435,1
98,12648528,1,1,odin,67,0.883,1
99,12648529,0,1,cpp,109,1.53,1
